,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
231,1,0,1,1,0,68.0,0,0,1,0,0,0,0,0,0.0,101810.0
232,0,0,1,1,1,56.0,0,1,0,0,0,1,0,0,0.0,108159.0
233,0,0,0,0,0,8.0,0,1,1,0,0,0,1,1,0.0,94715.0
234,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,1.0,111059.0
235,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,53566.0
236,1,0,1,1,0,22.0,1,0,1,0,0,0,0,0,0.0,101941.0
237,1,0,1,1,0,68.0,0,0,1,0,0,0,0,0,0.0,116006.0
238,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,67971.0
239,1,0,1,1,1,60.0,0,0,0,0,0,1,0,0,2.0,101810.0
240,1,0,0,0,0,8.0,0,0,0,0,0,1,1,1,0.0,50831.0
241,1,0,1,1,1,79.0,1,0,1,0,0,0,0,0,0.0,111059.0
242,1,0,0,0,0,11.0,1,0,0,0,0,1,1,1,0.0,49559.0
243,1,0,1,1,0,38.0,0,0,1,0,0,0,0,0,0.0,116006.0
244,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,10.0,111059.0
245,0,1,1,1,0,70.0,1,1,0,0,0,0,0,0,7.5,74087.0
246,1,0,1,1,0,5.0,0,0,0,0,0,1,0,0,0.0,96162.0
247,0,0,1,1,0,8.0,0,1,0,0,0,1,0,0,0.0,81182.0
248,1,1,1,1,0,35.0,0,0,0,0,0,0,0,0,0.0,116006.0
249,1,0,1,1,0,8.0,0,0,0,0,0,1,0,0,7.0,171585.0
250,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,80067.0
251,1,0,1,1,0,5.0,0,0,0,0,0,1,0,0,0.0,111059.0
252,0,0,1,1,0,4.8,1,1,1,0,0,0,0,0,0.0,132754.0
253,0,0,0,0,0,57.0,1,1,0,1,0,0,1,1,6.0,49517.0
254,0,0,1,1,1,79.0,1,1,1,0,0,0,0,0,0.0,79336.0
255,0,0,1,1,0,35.0,0,1,1,0,0,0,0,0,2.5,111059.0
256,0,0,1,1,0,32.0,1,1,0,0,0,1,0,0,0.0,102161.0
257,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,76038.0
258,0,0,0,0,0,13.0,1,1,0,0,1,0,1,1,7.0,78623.0
259,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,2.0,111059.0
260,1,0,0,0,0,17.0,0,0,1,0,0,0,1,1,0.0,37864.0
261,0,0,1,1,0,29.0,0,1,1,0,0,0,0,0,0.0,89093.0
262,1,0,1,1,0,11.0,1,0,1,0,0,0,0,0,0.0,83942.0
263,1,0,1,1,0,70.0,1,0,1,0,0,0,0,0,9.0,89759.0
264,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,3.0,68760.0
265,0,0,1,1,0,13.0,1,1,1,0,0,0,0,0,0.0,90648.0
266,1,0,1,1,0,49.0,0,0,1,0,0,0,0,0,5.0,57736.0
267,1,0,1,1,1,75.0,1,0,1,0,0,0,0,0,0.0,132754.0
268,1,0,0,0,1,53.0,0,0,0,0,0,1,1,1,0.0,58105.0
269,1,1,1,1,1,60.0,0,0,0,0,0,0,0,0,0.0,171585.0
270,0,0,1,1,0,11.0,0,1,0,0,0,1,0,0,0.0,83285.0
271,0,0,1,1,1,60.0,0,1,0,0,0,1,0,0,0.0,117974.0
272,1,0,1,1,0,70.0,1,0,0,0,0,1,0,0,8.0,109619.0
273,0,0,0,0,1,60.0,0,1,0,0,0,1,1,1,0.0,75222.0
274,0,0,0,1,0,14.0,0,1,1,0,0,0,1,0,0.0,89741.0
275,0,0,1,1,0,46.0,1,1,1,0,0,0,0,0,0.0,96162.0
276,0,0,1,1,1,60.0,0,1,1,0,0,0,0,0,0.0,111059.0
277,1,0,1,1,1,79.0,1,0,0,1,0,0,0,0,7.5,73481.0
278,0,0,1,1,0,70.0,1,1,1,0,0,0,0,0,0.0,67317.0
